date,se,browser,hits
2014-05-22,yandex,chrome,19582129.0
2014-05-23,search,chrome,47161339.0
2014-05-23,yandex,chrome,18333904.0
2014-05-24,search,chrome,40399232.0
2014-05-24,yandex,chrome,15165092.0
2014-05-25,search,chrome,45953666.0
2014-05-25,yandex,chrome,17604605.0
2014-05-26,search,chrome,54335796.0
2014-05-26,yandex,chrome,21302119.0
2014-05-27,search,chrome,54128963.0
2014-05-27,yandex,chrome,21110615.0
2014-05-28,search,chrome,53577522.0
2014-05-28,yandex,chrome,20992168.0
2014-05-29,search,chrome,53603551.0
2014-05-29,yandex,chrome,20982979.0
2014-05-30,search,chrome,49513137.0
2014-05-30,yandex,chrome,19123903.0
2014-05-31,search,chrome,43018817.0
2014-05-31,yandex,chrome,16074872.0
2014-06-01,search,chrome,44545680.0
2014-06-01,yandex,chrome,16673741.0
2014-06-02,search,chrome,52094317.0
2014-06-02,yandex,chrome,20077274.0
2014-06-03,search,chrome,51857527.0
2014-06-03,yandex,chrome,20354299.0
2014-06-04,search,chrome,52854650.0
2014-06-04,yandex,chrome,21025859.0
2014-06-05,search,chrome,52110290.0
2014-06-05,yandex,chrome,20710223.0
2014-06-06,search,chrome,49263020.0
2014-06-06,yandex,chrome,19636731.0
2014-06-07,search,chrome,41430467.0
2014-06-07,yandex,chrome,16294921.0
2014-06-08,search,chrome,46434843.0
2014-06-08,yandex,chrome,18486355.0
2014-06-09,search,chrome,55579040.0
2014-06-09,yandex,chrome,22766337.0
2014-06-10,search,chrome,54694156.0
2014-06-10,yandex,chrome,22284243.0
2014-06-11,search,chrome,52637526.0
2014-06-11,yandex,chrome,21267068.0
2014-06-12,search,chrome,49703781.0
2014-06-12,yandex,chrome,19355999.0
2014-06-13,search,chrome,49304254.0
2014-06-13,yandex,chrome,19333979.0
2014-06-14,search,chrome,47694528.0
2014-06-14,yandex,chrome,19235886.0
2014-06-15,search,chrome,53415539.0
2014-06-15,yandex,chrome,21924148.0
2014-06-16,search,chrome,61037466.0
2014-06-16,yandex,chrome,25976852.0
2014-06-17,search,chrome,61091930.0
2014-06-17,yandex,chrome,26625976.0
2014-06-18,search,chrome,60893621.0
2014-06-18,yandex,chrome,26634606.0
2014-06-19,search,chrome,59749853.0
2014-06-19,yandex,chrome,26125251.0
2014-06-20,search,chrome,55065763.0
2014-06-20,yandex,chrome,23772605.0
2014-06-21,search,chrome,48340614.0
2014-06-21,yandex,chrome,20908910.0
2014-06-22,search,chrome,52427651.0
2014-06-22,yandex,chrome,22662766.0
2014-06-23,search,chrome,56113289.0
2014-06-23,yandex,chrome,23263774.0
2014-06-24,search,chrome,53120749.0
2014-06-24,yandex,chrome,21306519.0
2014-06-25,search,chrome,52274096.0
2014-06-25,yandex,chrome,20966392.0
2014-06-26,search,chrome,52227246.0
2014-06-26,yandex,chrome,20664108.0
2014-06-27,search,chrome,49834627.0
2014-06-27,yandex,chrome,19866174.0
2014-06-28,search,chrome,41498783.0
2014-06-28,yandex,chrome,16370811.0
2014-06-29,search,chrome,44491190.0
2014-06-29,yandex,chrome,17547943.0
2014-06-30,search,chrome,52165538.0
2014-06-30,yandex,chrome,20892151.0
2014-07-01,search,chrome,50760172.0
2014-07-01,yandex,chrome,19980774.0
2014-07-02,search,chrome,49894242.0
2014-07-02,yandex,chrome,19598202.0
2014-07-03,search,chrome,48831266.0
2014-07-03,yandex,chrome,19016521.0
2014-07-04,search,chrome,46921948.0
2014-07-04,yandex,chrome,18314069.0
2014-07-05,search,chrome,39345576.0
2014-07-05,yandex,chrome,15033060.0
2014-07-06,search,chrome,42517328.0
2014-07-06,yandex,chrome,16400329.0
2014-07-07,search,chrome,52269352.0
2014-07-07,yandex,chrome,20683459.0
2014-07-08,search,chrome,51699486.0
2014-07-08,yandex,chrome,20372234.0
2014-07-09,search,chrome,50584247.0
2014-07-09,yandex,chrome,19676787.0
2014-07-10,search,chrome,50812386.0
2014-07-10,yandex,chrome,19944210.0
2014-07-11,search,chrome,48254331.0
2014-07-11,yandex,chrome,18777725.0
2014-07-12,search,chrome,40790734.0
2014-07-12,yandex,chrome,15389975.0
2014-07-13,search,chrome,43265332.0
2014-07-13,yandex,chrome,16634111.0
2014-07-14,search,chrome,51986357.0
2014-07-14,yandex,chrome,20562137.0
2014-07-15,search,chrome,51399894.0
2014-07-15,yandex,chrome,20435463.0
2014-07-16,search,chrome,50534050.0
2014-07-16,yandex,chrome,19942525.0
2014-07-17,search,chrome,50747561.0
2014-07-17,yandex,chrome,20054279.0
